market,lat,lon,region,d_act,Wd_act_centered,lisa,local_p,lisa_sig,conf
lon38_6411lat11_4626,11.46286,38.64171,Amhara,-53.7,-7.525856890459364,LL,0.43,ns,0.0
lon38_6419lat10_7113,10.71134,38.64184,Amhara,-23.39999999999999,16.627552200449728,LH,0.421,ns,0.0
lon38_6419lat11_1338,11.13379,38.64187,Amhara,14.100000000000009,-24.068912446014913,HL,0.518,ns,0.0
lon38_6474lat13_8853,13.88665,38.64462,Tigray,-79.30000000000001,39.66559047796169,LH,0.042,LH,0.0
lon38_6475lat8_8211,8.82104,38.64754,Oromia,-176.2,5.966643109540634,LH,0.232,ns,0.0
lon38_6492lat13_9728,13.97555,38.65012,Tigray,-18.700000000000003,40.08664310954064,LH,0.289,ns,0.0
lon38_651lat10_8763,10.87683,38.65047,Amhara,9.200000000000003,1.2949764428739714,HH,0.945,ns,0.0
lon38_6544lat9_4294,9.42959,38.65452,Oromia,-25.799999999999997,14.425531998429525,LH,0.501,ns,0.0
lon38_6573lat10_4568,10.45597,38.65725,Amhara,61.39999999999999,1.4255319984295234,HH,0.8,ns,0.0
lon38_6578lat10_5491,10.54918,38.65779,Amhara,-32.599999999999994,2.5166431095406336,LH,0.824,ns,0.0
lon38_6595lat12_2138,12.21533,38.65447,Amhara,-31.500000000000004,30.486643109540637,LH,0.262,ns,0.0
lon38_6649lat7_3621,7.36213,38.66502,Oromia,175.5,15.106643109540634,HH,0.086,ns,4.0
lon38_6715lat10_7073,10.70847,38.66905,Amhara,42.7,7.638643109540638,HH,0.476,ns,0.0
lon38_6737lat7_3578,7.35804,38.6739,Oromia,-5.700000000000003,33.22664310954064,LH,0.724,ns,4.0
lon38_673lat10_7238,10.72194,38.6717,Amhara,-10.100000000000009,11.149143109540637,LH,0.723,ns,0.0
lon38_6781lat10_9257,10.92285,38.6745,Amhara,94.00000000000001,-1.5360841631866347,HL,0.706,ns,0.0
